,Temperature,pH,EC,TSS,Turbidity,Salinity,TDS,DO,COD,NH4+,NO3,Phosphate,Sulfates,K,Ca,Mg,Cl,Br,Cd,Cr,Ni,Cu,Zn,Mn,Hg,As,Pb
count,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
mean,24.944444444444443,7.764444444444444,1516.0,282.3333333333333,65.16666666666667,658.3333333333334,1607.888888888889,0.9166666666666669,445.55555555555554,6.233333333333333,17.56666666666667,5.133333333333334,11.94222222222222,31.933333333333337,82.31111111111112,44.611111111111114,184.2888888888889,1.7444444444444445,0.28744444444444445,0.4023333333333334,0.34911111111111115,0.814,0.4840000000000001,1.8705555555555553,0.06688888888888889,0.10566666666666667,0.7454444444444445
std,0.6326750965367431,1.216861856488968,525.7730023498734,113.48898624976788,30.28176018662059,364.16891685040883,593.9131764080598,0.8550292392661201,222.90418968197474,3.361547262794322,6.118210522693707,1.255985668708047,3.592439205392966,10.775667032717744,28.948767005023047,21.29767853807337,117.38662023889738,0.8720107670079412,0.7231239712371439,0.5186706565827683,0.39679259205674583,0.5639523472776756,0.20758793317531732,1.1263844937576943,0.052355621580792176,0.042743420546325024,0.5862668144947126
min,23.8,5.55,767.0,142.0,28.8,208.0,778.0,0.0,189.0,2.1,9.8,3.5,8.77,18.5,32.9,11.9,15.8,0.87,0.003,0.025,0.058,0.095,0.173,0.998,0.002,0.061,0.294
25%,24.7,8.1,1470.0,190.0,42.5,370.0,986.0,0.13,252.0,3.2,12.4,3.9,9.25,21.3,70.2,36.1,110.8,1.25,0.007,0.049,0.102,0.388,0.307,1.1,0.014,0.079,0.376
50%,25.1,8.13,1536.0,300.0,59.6,685.0,1750.0,0.85,480.0,5.6,17.3,5.3,10.8,33.1,83.1,38.5,236.0,1.31,0.015,0.095,0.207,0.85,0.598,1.198,0.081,0.098,0.441
75%,25.2,8.39,1656.0,357.0,78.6,712.0,1995.0,1.72,582.0,9.4,24.5,6.0,12.4,39.2,95.6,52.6,277.3,1.72,0.092,0.511,0.356,0.965,0.623,2.979,0.107,0.107,0.953
max,25.9,8.93,2502.0,465.0,127.4,1380.0,2407.0,2.12,816.0,11.2,25.8,6.8,18.7,48.7,132.6,83.6,334.1,3.29,2.21,1.423,1.252,1.832,0.753,3.791,0.137,0.191,1.979
