index,Location,Metrics,Model Category,Model,y
0,S1,MSE,General,CNN,0.4554499469507055
1,S1,MSE,General,RNN,0.5039961211604748
2,S1,MSE,General,GRU,-0.5664042793805468
3,S1,MSE,General,LSTM,-0.5395740895875341
4,S1,MSE,MA,CNN,0.2317634910656422
5,S1,MSE,MA,RNN,-0.4116087996336555
6,S1,MSE,MA,GRU,0.364101859852318
7,S1,MSE,MA,LSTM,-0.177892711792988
8,S1,MSE,DReg,CNN,0.3577834487273851
9,S1,MSE,DReg,RNN,-0.4182762817844212
10,S1,MSE,DReg,GRU,-0.3357918220564782
11,S1,MSE,DReg,LSTM,-0.1007600538873296
12,S1,MSE,MA DReg,CNN,0.3158702121438063
13,S1,MSE,MA DReg,RNN,-0.443003871169745
14,S1,MSE,MA DReg,GRU,-0.3503474834047184
15,S1,MSE,MA DReg,LSTM,-0.3974057179421582
16,S1,MSE,HY,CNN LSTM,-0.4137467062997986
17,S1,MSE,HY,RNN LSTM GRU,-0.3343286917577712
18,S1,MSE,HY,CNN RNN GRU,-0.2760914788429727
19,S1,MSE,HY,CNN GRU,-0.4119726079603703
20,S1,MSE,HY,RNN GRU,-0.4209647195107788
21,S1,MSE,HY,RNN LSTM,-0.4280336179533368
22,S1,MSE,MA HY,CNN LSTM,-0.3925636017200178
23,S1,MSE,MA HY,RNN LSTM GRU,-0.3136767856836422
24,S1,MSE,MA HY,CNN RNN GRU,-0.2406715164589798
25,S1,MSE,MA HY,CNN GRU,-0.4299408416911221
26,S1,MSE,MA HY,RNN GRU,-0.3929502440496379
27,S1,MSE,MA HY,RNN LSTM,-0.4062848110241754
0,S1,RMSE,General,CNN,55.589564275926
1,S1,RMSE,General,RNN,53.05384985609268
2,S1,RMSE,General,GRU,94.2814597581044
3,S1,RMSE,General,LSTM,93.47052119700996
4,S1,RMSE,MA,CNN,66.02704160037385
5,S1,RMSE,MA,RNN,89.50175393091494
6,S1,RMSE,MA,GRU,60.07145414322388
7,S1,RMSE,MA,LSTM,81.75743069796289
8,S1,RMSE,DReg,CNN,60.369157453722345
9,S1,RMSE,DReg,RNN,89.71287770122417
10,S1,RMSE,DReg,GRU,87.0650307539803
11,S1,RMSE,DReg,LSTM,79.03522573168048
12,S1,RMSE,MA DReg,CNN,62.30797226058958
13,S1,RMSE,MA DReg,RNN,90.49156844731776
14,S1,RMSE,MA DReg,GRU,87.53810427542113
15,S1,RMSE,MA DReg,LSTM,89.05034894595299
16,S1,RMSE,HY,CNN LSTM,89.56950428846439
