Location Type,CdT,CdS,CrT,CrS,NiT,NiS,PbT,PbS,FeT,FeS,MnT,MnS
Landfill,N D,N D,72.4817,52.0550,19.3650,28.4400,15.2300,11.2600,12952.1250,21710.5000,115.5050,111.6300
Homestead,0.2000,N D,42.8950,28.2350,13.9400,30.6650,7.9100,14.2800,8653.8750,18169.8750,151.0050,127.8800
Roadside,N D,N D,88.0717,23.6500,32.4850,42.2050,14.5100,19.0350,16418.8500,14323.0000,286.3800,215.1300
Ind/ RS,N D,N D,52.2250,23.7800,11.4350,13.4250,11.6100,8.4500,7739.2500,9034.1250,335.5050,554.5050
Roadside,0.2750,N D,70.9267,38.5700,14.0000,42.6500,16.1100,11.2300,10326.7500,17399.5000,477.8800,248.6300
Landfill/ Homestead,0.0850,N D,63.7100,37.9100,25.6450,30.3350,23.1250,8.7150,14051.6250,17540.6250,261.3800,303.5050
Industry/ RoadSide,N D,N D,64.2217,42.2700,34.2350,39.1300,15.5000,11.0700,16811.5000,17876.0000,348.6300,243.1300
Mulching-2,N D,N D,51.1750,31.8400,23.5600,37.8350,2.3550,9.9550,11907.0000,17735.5000,247.6300,252.6300
Mulching,N D,0.0800,61.4967,17.4600,25.7300,14.6800,14.8800,10.6400,15194.6250,9108.7500,383.7550,293.1300
Mulching-1,N D,N D,62.1400,44.2800,44.7050,47.8650,10.3000,11.6750,22898.0000,23126.0000,253.1300,563.1300
Roadside,N D,N D,38.0350,26.6200,36.5900,17.0550,10.7450,15.5250,17864.6250,17941.5000,333.2550,649.3800
-,N D,N D,37.8950,28.3450,34.6100,29.0900,7.8300,6.2150,17728.1250,15554.6250,359.7550,302.1300
Industry,N D,N D,47.8050,46.2400,27.2400,28.6500,203.9450,155.8600,17388.0000,16871.6250,129.3800,140.7550
Homestead,N D,N D,24.7400,8.3600,14.5300,4.4400,9.9350,1.6050,12819.3750,2598.3750,155.6300,63.7550
Landfill,N D,N D,51.7850,46.2250,20.3650,48.1800,11.0450,14.9950,9520.1250,20686.5000,149.1300,377.1300
Industry,N D,N D,59.3000,19.7350,26.9300,27.8200,20.6800,10.5350,13964.2500,14182.8750,192.3800,164.6300
Homestead,N D,N D,40.6300,35.6800,40.1850,41.4400,19.3950,10.1150,16940.0000,17828.0000,339.1300,334.1300
Homestead,N D,N D,35.8600,29.7150,37.4600,35.1500,17.8700,8.0850,12480.5000,13545.0000,252.6300,258.1300
Mulching,0.3450,N D,30.2400,28.6350,17.1550,20.1700,14.3950,10.6500,9799.5000,11106.5000,742.1300,602.1300
Industry,0.0600,N D,77.7267,48.3700,37.4250,34.1000,20.5200,10.3850,10414.0000,8036.0000,155.1300,110.6300
Roadside,N D,N D,36.4950,28.6000,26.2750,17.2750,12.9150,10.7000,11071.0000,10256.5000,166.6300,89.1300
Homestead,0.0300,N D,21.0050,23.6850,15.6400,15.6000,14.2600,12.4600,8268.5000,11105.5000,238.6300,327.1300
Pack Industry/ HS,0.2700,N D,45.1150,25.3250,43.4850,27.1400,137.1200,7.1750,16387.5000,10061.5000,303.1300,170.6300
Homestead,N D,N D,31.0450,32.6150,19.1250,22.7200,16.4050,15.2100,15348.0000,14943.5000,202.1300,179.1300
,N D,N D,39.9800,22.0800,39.3465,22.0950,17.5650,5.6550,26941.9500,9856.0000,321.1300,271.6300
Landfill,N D,N D,97.5467,47.7800,22.9150,28.0450,29.1750,23.4450,17388.0000,15275.5000,4.6300,7.1300
Industry,N D,N D,70.2067,36.2800,39.7250,35.6800,16.2500,10.2450,20509.0000,19117.0000,368.6300,582.1300
Homestead/ RS,N D,-,66.4300,-,30.7750,-,7.9700,-,16087.0000,-,222.6300,-
Ind/RS/HS,N D,-,64.5200,-,30.3750,-,9.0500,-,14337.5000,-,246.6300,-
Industry/ RoadSide,N D,-,58.0917,-,24.0233,-,21.1550,-,13128.5000,-,154.1300,-
Landfill,0.0100,-,75.5417,-,20.1383,-,35.5700,-,17593.5000,-,43.1300,-
Homestead,N D,-,51.4400,-,30.5200,-,11.4000,-,15569.0000,-,166.1300,-
Industry Effluent,N D,-,66.6417,-,35.9650,-,11.2350,-,19123.5000,-,340.1300,-
Mulching,N D,-,60.4667,-,17.5033,-,16.1800,-,12014.7000,-,456.6300,-
