CrW,NiW,CuW,AsW,CdW,PbW
30.78977778,8.082352941,24.87111111,4.209230769,8.86,164.145
30.12533333,6.376470588,26.70933333,6.364615385,7.64,149.017
25.93355556,13.96,25.29066667,12.07846154,5.9,119.908
20.67,11.56941176,32.832,11.7,4.72,140.244
28.93222222,11.92470588,35.63377778,13.09384615,4.2,122.605
24.90222222,5.487058824,67.24977778,6.553846154,3,98.332
30.48644444,5.218823529,39.904,9.863076923,2.72,62.8525
5.254888889,19.09882353,35.62311111,5.787692308,7.38,361.8785
4.957333333,20.05176471,37.56088889,6.567692308,10.28,387.6705
3.917333333,13.55058824,35.07555556,9.170769231,5.8,337.59
26.95333333,16.85411765,63.06488889,5.912307692,14.2,401.605
34.11777778,18.64705882,92.83555556,4.301538462,18.2,460.97
4.942888889,9.272941176,26.72,3.456923077,4.62,99.355
3.726666667,6.065882353,28.29155556,3.936923077,3.06,92.69
23.11977778,6.611764706,37.40444444,9.544615385,18.22,150.1485
17.94866667,16.75764706,41.05955556,9.152307692,29.86,295.12
16.98666667,16.36,60.192,10.04769231,25.4,326.5075
