Sample,Bulk Density,Moisture,Sand,Silt,Clay,Textural Class,pH,EC,OM,TN,CEC,Depth,Sampling
Hb-1,1.52,32.82,6.4,55.42,38.17,SiC,8.33,3.79,2.389,0.14,27.15,0-20,Harbaria
Hb-2,1.48,32.67,8.42,55.17,36.4,SiC,8.2,3.48,3.562,0.13,27.1,20-40,Harbaria
Hb-3,1.4,34.92,3.88,61.22,34.88,SiCL,8.51,3.19,6.441,0.09,26.86,40-60,Harbaria
Hb-4,1.49,37.57,3.9,65.71,30.38,SiCL,8.39,3.38,12.621,0.08,25.5,60-80,Harbaria
Hb-5,1.37,38.02,3.93,60.93,35.12,SiCL,8.45,3.27,15.698,0.06,29.87,80-100,Harbaria
H-1,1.55,32.82,11.41,50.36,38.21,SiC,7.89,7.23,1.742,0.13,26.61,0-20,Hiron Point
H-2,1.49,38.92,12.68,47.66,39.64,SiC,8.65,6.92,3.261,0.11,26.99,20-40,Hiron Point
H-3,1.52,38.96,6.43,58.59,34.97,SiC,8.78,7,5.513,0.09,25.48,40-60,Hiron Point
H-4,1.51,36.07,6.39,61.86,31.74,SiCL,8.86,6.45,11.83,0.08,25.1,60-80,Hiron Point
H-5,1.31,41.82,8.83,62.68,28.48,SiCL,8.74,6.46,14.988,0.07,25,80-100,Hiron Point
Kj-1,1.59,33.95,5.97,50.81,43.21,SiC,8.28,3.44,2.571,0.1,29.96,0-20,Karamjal
Kj-2,1.52,38.49,4.96,52.95,42.07,SiC,8.48,3.12,4.083,0.09,28.3,20-40,Karamjal
Kj-3,1.39,36.36,3.95,55.06,40.98,SiC,8.51,2.7,6.625,0.09,28.11,40-60,Karamjal
Kj-4,1.39,39.76,5.77,52.83,41.39,SiC,8.5,2.98,12.851,0.08,29.73,60-80,Karamjal
Kj-5,1.46,40.12,5.41,56.06,38.52,SiC,8.58,2.64,16.228,0.07,27.71,80-100,Karamjal
K-1,1.58,38.1,5.66,43.26,51.07,SiC,7.95,6.42,2.203,0.11,30,0-20,Katka
K-2,1.44,37.48,3.27,48.74,47.98,SiC,8.01,6.52,3.731,0.1,28.97,20-40,Katka
K-3,1.58,47.9,4.52,54.34,41.13,SiC,8.61,6.11,5.879,0.09,29.41,40-60,Katka
K-4,1.24,44.91,3.92,50.01,46.05,SiC,8.48,5.81,12.945,0.09,28.55,60-80,Katka
K-5,1.26,46.3,3.18,54.31,42.5,SiC,8.75,5.97,15.342,0.07,27.92,80-100,Katka
M-1,1.41,31.82,5.94,40.11,53.95,SiC,8.1,4.78,2.15,0.15,32.17,0-20,Munshiganj
M-2,1.38,33.67,4.39,41.79,53.82,SiC,8.29,4.38,4.936,0.14,32.1,20-40,Munshiganj
M-3,1.33,35.92,4.11,42.35,53.54,SiC,8.34,4.19,5.745,0.1,30.39,40-60,Munshiganj
M-4,1.31,36.59,3.8,43.12,53.08,SiC,8.49,4.1,9.615,0.09,30.33,60-80,Munshiganj
M-5,1.24,38.32,3.14,45.88,50.98,SiC,8.57,3.55,13.984,0.09,29.81,80-100,Munshiganj
