Sample ID,Depth (cm),SOCC (%),"SOCD 
(g C cm−3)","SOC Stock 
(Mg C ha−1)",Sampling Location,Sampling,Lat,Long
B-1,0-20,0.83,0.0116,23.24,Bhimruli,Bhimruli 0-20 cm,22.71186111,90.16569444
B-2,20-40,1.21,0.0182,36.3,Bhimruli,Bhimruli 20-40 cm,22.71186111,90.16569444
B-3,40-60,1.23,0.0193,38.622,Bhimruli,Bhimruli 40-60 cm,22.71186111,90.16569444
B-4,60-80,1.21,0.0195,38.962,Bhimruli,Bhimruli 60-80 cm,22.71186111,90.16569444
B-5,80-100,0.75,0.0107,21.45,Bhimruli,Bhimruli 80-100 cm,22.71186111,90.16569444
C-1,0-20,1.44,0.0203,40.608,Char Kukrimukri,Char Kukrimukri 0-20 cm,21.94244444,90.65783333
C-2,20-40,0.89,0.0117,23.496,Char Kukrimukri,Char Kukrimukri 20-40 cm,21.94244444,90.65783333
C-3,40-60,0.78,0.0107,21.372,Char Kukrimukri,Char Kukrimukri 40-60 cm,21.94244444,90.65783333
C-4,60-80,0.47,0.0066,13.16,Char Kukrimukri,Char Kukrimukri 60-80 cm,21.94244444,90.65783333
C-5,80-100,0.35,0.005,9.94,Char Kukrimukri,Char Kukrimukri 80-100 cm,21.94244444,90.65783333
H-1,0-20,1.81,0.0282,56.472,Haimchar,Haimchar 0-20 cm,23.07091667,90.57661111
H-2,20-40,1.21,0.0179,35.816,Haimchar,Haimchar 20-40 cm,23.07091667,90.57661111
H-3,40-60,0.75,0.0104,20.7,Haimchar,Haimchar 40-60 cm,23.07091667,90.57661111
H-4,60-80,0.45,0.0065,12.96,Haimchar,Haimchar 60-80 cm,23.07091667,90.57661111
H-5,80-100,0.3,0.0044,8.88,Haimchar,Haimchar 80-100 cm,23.07091667,90.57661111
L-1,0-20,2.6,0.0346,69.16,Lalmohan,Lalmohan 0-20 cm,22.33486111,90.70108333
L-2,20-40,1.34,0.0194,38.86,Lalmohan,Lalmohan 20-40 cm,22.33486111,90.70108333
L-3,40-60,1.3,0.0192,38.48,Lalmohan,Lalmohan 40-60 cm,22.33486111,90.70108333
L-4,60-80,1.26,0.0183,36.54,Lalmohan,Lalmohan 60-80 cm,22.33486111,90.70108333
L-5,80-100,1.18,0.017,33.984,Lalmohan,Lalmohan 80-100 cm,22.33486111,90.70108333
R-1,0-20,1.13,0.0173,34.578,Ramgati,Ramgati 0-20 cm,22.64427778,90.94175
R-2,20-40,0.69,0.0104,20.7,Ramgati,Ramgati 20-40 cm,22.64427778,90.94175
R-3,40-60,0.6,0.0082,16.44,Ramgati,Ramgati 40-60 cm,22.64427778,90.94175
R-4,60-80,0.38,0.0054,10.716,Ramgati,Ramgati 60-80 cm,22.64427778,90.94175
R-5,80-100,0.36,0.0051,10.296,Ramgati,Ramgati 80-100 cm,22.64427778,90.94175
