Sample,Lat,Long
S-1,24.11283333,89.03008333
S-2,24.11283333,89.03008333
S-3,24.11283333,89.03008333
S-4,24.11283333,89.03008333
S-5,24.11283333,89.03008333
R-1,24.08097222,89.04863889
R-2,24.08097222,89.04863889
R-3,24.08097222,89.04863889
R-4,24.08097222,89.04863889
R-5,24.08097222,89.04863889
P-1,24.04297222,89.05422222
P-2,24.04297222,89.05422222
P-3,24.04297222,89.05422222
P-4,24.04297222,89.05422222
P-5,24.04297222,89.05422222
K-1,24.07397222,88.99491667
K-2,24.07397222,88.99491667
K-3,24.07397222,88.99491667
K-4,24.07397222,88.99491667
K-5,24.07397222,88.99491667
M-1,24.0745,89.01138889
M-2,24.0745,89.01138889
M-3,24.0745,89.01138889
M-4,24.0745,89.01138889
M-5,24.0745,89.01138889
B-1,22.71186111,90.16569444
B-2,22.71186111,90.16569444
B-3,22.71186111,90.16569444
B-4,22.71186111,90.16569444
B-5,22.71186111,90.16569444
C-1,21.94244444,90.65783333
C-2,21.94244444,90.65783333
C-3,21.94244444,90.65783333
C-4,21.94244444,90.65783333
C-5,21.94244444,90.65783333
H-1,23.07091667,90.57661111
H-2,23.07091667,90.57661111
H-3,23.07091667,90.57661111
H-4,23.07091667,90.57661111
H-5,23.07091667,90.57661111
L-1,22.33486111,90.70108333
L-2,22.33486111,90.70108333
L-3,22.33486111,90.70108333
L-4,22.33486111,90.70108333
L-5,22.33486111,90.70108333
R-1,22.64427778,90.94175
R-2,22.64427778,90.94175
R-3,22.64427778,90.94175
R-4,22.64427778,90.94175
R-5,22.64427778,90.94175
G-1,23.0535,89.05955556
G-2,23.0535,89.05955556
G-3,23.0535,89.05955556
G-4,23.0535,89.05955556
G-5,23.0535,89.05955556
P-1,23.05530556,89.06166667
P-2,23.05530556,89.06166667
P-3,23.05530556,89.06166667
P-4,23.05530556,89.06166667
P-5,23.05530556,89.06166667
J-1,23.08422222,89.11513889
J-2,23.08422222,89.11513889
J-3,23.08422222,89.11513889
J-4,23.08422222,89.11513889
J-5,23.08422222,89.11513889
M-1,23.05441667,89.10147222
M-2,23.05441667,89.10147222
M-3,23.05441667,89.10147222
M-4,23.05441667,89.10147222
M-5,23.05441667,89.10147222
S-1,23.08416667,89.21261111
S-2,23.08416667,89.21261111
S-3,23.08416667,89.21261111
S-4,23.08416667,89.21261111
S-5,23.08416667,89.21261111
Kj-1,22.42844444,89.59255556
Kj-2,22.42844444,89.59255556
Kj-3,22.42844444,89.59255556
Kj-4,22.42844444,89.59255556
Kj-5,22.42844444,89.59255556
H-1,22.29833333,89.61511111
H-2,22.29833333,89.61511111
H-3,22.29833333,89.61511111
H-4,22.29833333,89.61511111
H-5,22.29833333,89.61511111
Kt-1,21.85486111,89.77255556
Kt-2,21.85486111,89.77255556
Kt-3,21.85486111,89.77255556
Kt-4,21.85486111,89.77255556
Kt-5,21.85486111,89.77255556
Hi-1,21.80780556,89.45913889
Hi-2,21.80780556,89.45913889
Hi-3,21.80780556,89.45913889
Hi-4,21.80780556,89.45913889
Hi-5,21.80780556,89.45913889
Mu-1,22.07149673,89.5571774
Mu-2,22.07149673,89.5571774
Mu-3,22.07149673,89.5571774
Mu-4,22.07149673,89.5571774
Mu-5,22.07149673,89.5571774
