Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,ValidTo
2.32854208246,0.10307807936,Chuadanga,BD4018,,,,Khulna,BD40,Bangladesh,BD,2015/01/01,2020/11/13,
3.34774975752,0.18063405506,Faridpur,BD3029,,,,Dhaka,BD30,Bangladesh,BD,2015/01/01,2020/11/13,
3.65807994794,0.17290625058,Jhenaidah,BD4044,,,,Khulna,BD40,Bangladesh,BD,2015/01/01,2020/11/13,
3.10725193793,0.14319525283,Kushtia,BD4050,,,,Khulna,BD40,Bangladesh,BD,2015/01/01,2020/11/13,
1.94049826737,0.09267180788,Magura,BD4055,,,,Khulna,BD40,Bangladesh,BD,2015/01/01,2020/11/13,
1.82012036555,0.06401167480,Meherpur,BD4057,,,,Khulna,BD40,Bangladesh,BD,2015/01/01,2020/11/13,
3.45898672391,0.16947264307,Natore,BD5069,,,,Rajshahi,BD50,Bangladesh,BD,2015/01/01,2020/11/13,
3.07870655865,0.21210273576,Pabna,BD5076,,,,Rajshahi,BD50,Bangladesh,BD,2015/01/01,2020/11/13,
2.05648525072,0.10087961817,Rajbari,BD3082,,,,Dhaka,BD30,Bangladesh,BD,2015/01/01,2020/11/13,
3.49992298212,0.21714336480,Rajshahi,BD5081,,,,Rajshahi,BD50,Bangladesh,BD,2015/01/01,2020/11/13,
3.59600319205,0.22199194724,Sirajganj,BD5088,,,,Rajshahi,BD50,Bangladesh,BD,2015/01/01,2020/11/13,
