,IngMeanWa,IngMeanWc,IngSDWa,IngSDWc,DermMeanWa,DermMeanWc,DermSDWa,DermSDWc,IngMeanSa,IngMeanSc,IngSDSa,IngSDSc,DermMeanSa,DermMeanSc,DermSDSa,DermSDSc
Cd,0.000258655462184874,0.00018540423529411767,0.00011349303290249566,8.135180598450888e-05,1.0801452100840336e-06,1.9119811764705886e-06,4.7394690540082184e-07,8.389404992152478e-07,0.00019,0.000136192,9.632368634463907e-05,6.90448183718373e-05,7.934400000000001e-07,1.4044800000000001e-06,4.0224771417521285e-07,7.120246894595721e-07
Cr,0.004023109243697479,0.002883764705882353,0.0015440461882510448,0.001106772307738349,3.3601008403361346e-05,5.9477647058823534e-05,1.2895873764272727e-05,2.282717884710345e-05,0.003287815126050421,0.0023567058823529413,0.0013092751068901484,0.0009384883966188582,2.7459831932773108e-05,4.860705882352942e-05,1.0935065692746518e-05,1.9356323180263952e-05
As,0.018151260504201683,0.013010823529411764,0.007502109922302827,0.005377512392306666,7.579966386554623e-05,0.00013417411764705885,3.1328811035536604e-05,5.54555965456625e-05,0.015535714285714286,0.011136,0.006886585785097736,0.004936304690758057,6.487714285714286e-05,0.00011484000000000002,2.8758382238568144e-05,5.090564212344248e-05
Pb,3.7678571428571433e-05,2.7008e-05,1.5518514699203264e-05,1.11236713363889e-05,1.5734571428571434e-08,2.7852000000000003e-08,6.480531738387283e-09,1.1471286065651055e-08,3.0357142857142864e-05,2.1760000000000002e-05,1.403504973890258e-05,1.006032365284537e-05,1.267714285714286e-08,2.2440000000000004e-08,5.861036770965719e-09,1.0374708766996789e-08
Ni,0.01839285714285714,0.013184000000000001,0.0155856136241348,0.011171767845779825,1.5361714285714287e-05,2.7192e-05,1.3017104498877385e-05,2.3041771181920892e-05,0.015750000000000004,0.011289599999999999,0.013443914581910818,0.009636597972313673,1.31544e-05,2.3284800000000004e-05,1.1228357458811915e-05,1.987548331789695e-05
