Station,SamplingPoint,HI Adult W,HI Child W,HI Adult S,HI Child S,CR Adult W,CR Child W,CR Adult S,CR Child S
S-1,S-1,71.20516239403456,51.42533334554335,57.002134207744646,41.15130810500611,0.04240464078085715,0.030578657796000004,0.034098381332,0.024585597943999997
S-2,S-2,66.68218175928833,48.146784219780216,59.42840971219257,42.90712195360197,0.03977908954742857,0.028685736992,0.03475728822428571,0.025063710420000003
S-3,S-3,64.12046722291993,46.33967794139195,61.49796023914183,44.40910857875459,0.040269718631428565,0.02903394452,0.03708709526171429,0.026741976992000004
S-4,S-4,46.68857632025118,33.802219321123324,42.90524649398221,31.028172283272283,0.030217815726857146,0.021794760528000005,0.027878975568571426,0.020107839880000002
S-5,S-5,62.08209697540554,44.87192517704519,58.004389547357405,41.89305913308913,0.04055053015857143,0.029237401660000006,0.036466792664,0.026294015888
S-6,S-6,55.64921101674516,40.21965481562881,39.89491965672423,28.824919501831502,0.03604394121514286,0.025986972036,0.027208041444571427,0.019614268671999998
S-7,S-7,52.71765450915752,38.07808989743591,45.41048427263213,32.793168876678884,0.032958272565428576,0.023762798747999997,0.028105942978571434,0.0202637621
S-8,S-8,33.24684702721088,24.13013038095238,24.547872847200416,17.81786239072039,0.03777543445228572,0.027169865996,0.03146939289,0.02262828438
S-9,S-9,29.387442351648353,21.304988683760687,23.67827749345893,17.158759438339445,0.04057333123914285,0.029169045043999996,0.034524385514285716,0.0248186596
S-10,S-10,36.14278328100472,26.211419951159954,30.790905971742543,22.331299262515262,0.051353870759999996,0.03692136792,0.045484230924285725,0.03269877782
S-11,S-11,69.4393603197279,50.288061365079365,63.88487906384091,46.249402415140416,0.04611857703857143,0.03323103462,0.04126299198971428,0.029734699567999998
S-12,S-12,63.463972275248565,45.93472132356534,47.048631004709584,34.051908937728946,0.04145212292171428,0.029876500712,0.029724706124285714,0.02142993622
S-13,S-13,16.599356768707484,12.018568095238093,15.826835071690216,11.445132644688643,0.013320944785999999,0.009597788012000001,0.012736834923999999,0.009174204807999999
S-14,S-14,17.026895433281005,12.319461604395604,16.29777354107797,11.782991216117214,0.012962375878857142,0.009337570912,0.012748982851999997,0.009182917783999999
S-15,S-15,41.250152529042396,29.8377788937729,29.986335940868656,21.6808923003663,0.052669988275428556,0.037877223567999996,0.040446546380000004,0.029085125960000003
S-16,S-16,42.954071732077445,31.038107838827838,36.86097011564625,26.62794961904762,0.05713751345428572,0.04108559108,0.05239858519228571,0.037671235076
S-17,S-17,49.8099578252224,35.986731125763136,41.127313616954474,29.709997064713065,0.08123195880999999,0.05838806902,0.06690395452685714,0.048088070127999996
