Station,HIWinterA,HIWinterC,HIRainyA,HIRainyC
S-1,71.20516239403456,51.42533334554335,57.00213420774465,41.15130810500611
S-2,66.68218175928834,48.146784219780216,59.42840971219257,42.907121953601965
S-3,64.12046722291994,46.33967794139194,61.49796023914182,44.40910857875459
S-4,46.68857632025118,33.802219321123324,42.90524649398221,31.02817228327228
S-5,62.08209697540555,44.87192517704519,58.00438954735741,41.89305913308913
S-6,55.64921101674516,40.21965481562881,39.89491965672423,28.8249195018315
S-7,52.71765450915752,38.0780898974359,45.41048427263214,32.79316887667888
S-8,33.24684702721088,24.130130380952377,24.54787284720042,17.81786239072039
S-9,29.38744235164835,21.304988683760687,23.67827749345893,17.158759438339445
S-10,36.14278328100471,26.211419951159954,30.790905971742546,22.33129926251526
S-11,69.43936031972788,50.288061365079365,63.88487906384092,46.249402415140416
S-12,63.46397227524856,45.93472132356534,47.048631004709584,34.05190893772894
S-13,16.599356768707484,12.018568095238095,15.826835071690216,11.445132644688645
S-14,17.026895433281005,12.319461604395602,16.297773541077973,11.782991216117216
S-15,41.250152529042396,29.837778893772896,29.986335940868653,21.680892300366295
S-16,42.95407173207745,31.038107838827838,36.86097011564625,26.62794961904762
S-17,49.8099578252224,35.98673112576312,41.127313616954474,29.70999706471307
