,training_loss,validation_loss,training_accuracy,validation_accuracy
0,5833.30517578125,3099.475830078125,,
1,5582.2275390625,3030.4599609375,,
2,5507.205078125,2992.556640625,,
3,5454.26318359375,2959.57666015625,,
4,5419.1279296875,2934.218994140625,,
5,5382.50244140625,2911.552978515625,,
6,5350.97021484375,2890.764892578125,,
7,5322.82373046875,2870.822998046875,,
8,5296.44482421875,2852.1845703125,,
9,5268.21923828125,2835.083984375,,
10,5245.01416015625,2818.728759765625,,
11,5222.2333984375,2803.20703125,,
12,5199.3466796875,2788.570068359375,,
13,5181.248046875,2774.29638671875,,
14,5158.76025390625,2760.7109375,,
15,5139.6435546875,2747.43505859375,,
16,5121.517578125,2734.364990234375,,
17,5100.46435546875,2721.7666015625,,
18,5084.4775390625,2709.12353515625,,
19,5065.31982421875,2696.70751953125,,
20,5048.2080078125,2684.329345703125,,
21,5028.88671875,2672.17041015625,,
22,5012.67919921875,2659.965087890625,,
23,4992.26611328125,2648.091552734375,,
24,4974.85498046875,2636.220703125,,
25,4957.826171875,2624.3212890625,,
26,4939.0986328125,2612.572509765625,,
27,4922.6669921875,2600.74462890625,,
28,4906.6474609375,2588.889404296875,,
29,4886.40478515625,2577.376220703125,,
30,4869.9765625,2565.808837890625,,
31,4853.12744140625,2554.283935546875,,
32,4834.755859375,2542.9404296875,,
33,4816.1396484375,2531.771484375,,
34,4799.26611328125,2520.595947265625,,
35,4782.376953125,2509.44287109375,,
36,4763.61767578125,2498.49658203125,,
37,4746.017578125,2487.631103515625,,
38,4728.6474609375,2476.831787109375,,
39,4712.833984375,2465.965087890625,,
40,4696.146484375,2455.16796875,,
41,4677.67724609375,2444.6103515625,,
42,4660.7783203125,2434.13427734375,,
43,4642.3046875,2423.905517578125,,
44,4628.107421875,2413.539306640625,,
45,4609.68896484375,2403.465087890625,,
46,4593.7685546875,2393.4541015625,,
47,4576.1708984375,2383.675048828125,,
48,4560.4482421875,2373.96875,,
49,4542.83984375,2364.5205078125,,
