,training_loss,validation_loss,training_accuracy,validation_accuracy
0,5745.22314453125,3163.525634765625,,
1,5702.642578125,3162.80712890625,,
2,5701.9970703125,3162.414306640625,,
3,5701.46875,3162.033203125,,
4,5700.94970703125,3161.65478515625,,
5,5700.49072265625,3161.272216796875,,
6,5699.95703125,3160.891357421875,,
7,5699.46826171875,3160.508544921875,,
8,5698.95703125,3160.126220703125,,
9,5698.4599609375,3159.744873046875,,
10,5697.93115234375,3159.3662109375,,
11,5697.4091796875,3158.98828125,,
12,5696.87646484375,3158.61181640625,,
13,5696.39453125,3158.232421875,,
14,5695.88134765625,3157.85302734375,,
15,5695.36474609375,3157.4736328125,,
16,5694.8662109375,3157.0927734375,,
17,5694.36474609375,3156.71142578125,,
18,5693.8359375,3156.331787109375,,
19,5693.3310546875,3155.9521484375,,
20,5692.826171875,3155.5712890625,,
21,5692.33203125,3155.1904296875,,
22,5691.8212890625,3154.81005859375,,
23,5691.32763671875,3154.430908203125,,
24,5690.79150390625,3154.055908203125,,
25,5690.29736328125,3153.680419921875,,
26,5689.77783203125,3153.306640625,,
27,5689.28173828125,3152.93212890625,,
28,5688.7939453125,3152.556640625,,
29,5688.2412109375,3152.1865234375,,
30,5687.771484375,3151.812255859375,,
31,5687.275390625,3151.4375,,
32,5686.7275390625,3151.067626953125,,
33,5686.23681640625,3150.694580078125,,
34,5685.7041015625,3150.324462890625,,
35,5685.25830078125,3149.94677734375,,
36,5684.7490234375,3149.56982421875,,
37,5684.21044921875,3149.196044921875,,
38,5683.7001953125,3148.822509765625,,
39,5683.22900390625,3148.44482421875,,
40,5682.748046875,3148.064697265625,,
41,5682.2060546875,3147.689453125,,
42,5681.66259765625,3147.31884765625,,
43,5681.1748046875,3146.945068359375,,
44,5680.68359375,3146.569091796875,,
45,5680.15673828125,3146.195556640625,,
46,5679.6806640625,3145.8173828125,,
47,5679.1923828125,3145.43798828125,,
48,5678.65673828125,3145.062744140625,,
49,5678.19140625,3144.683349609375,,
