,training_loss,validation_loss,training_accuracy,validation_accuracy
0,6149.2763671875,3203.556396484375,,
1,6087.5712890625,3164.3232421875,,
2,6037.240234375,3133.3857421875,,
3,5986.45849609375,3096.46240234375,,
4,5945.55810546875,3070.727783203125,,
5,5909.24853515625,3046.77197265625,,
6,5876.75048828125,3023.3408203125,,
7,5843.076171875,2997.268798828125,,
8,5805.43212890625,2978.42431640625,,
9,5768.14794921875,2951.920166015625,,
10,5741.53759765625,2931.695556640625,,
11,5714.0126953125,2913.83154296875,,
12,5686.09521484375,2897.87841796875,,
13,5665.365234375,2882.0966796875,,
14,5646.482421875,2866.74658203125,,
15,5627.7607421875,2853.55908203125,,
16,5607.23486328125,2841.218505859375,,
17,5589.904296875,2829.2783203125,,
18,5572.8759765625,2817.6669921875,,
19,5554.4169921875,2806.757568359375,,
20,5539.09765625,2796.6103515625,,
21,5523.07421875,2786.95751953125,,
22,5508.03857421875,2778.599853515625,,
23,5494.0634765625,2770.6455078125,,
24,5481.14013671875,2760.379638671875,,
25,5468.61181640625,2750.874755859375,,
26,5456.43212890625,2743.770263671875,,
27,5446.17333984375,2737.490478515625,,
28,5437.2412109375,2731.865966796875,,
29,5428.7705078125,2726.69921875,,
30,5421.15673828125,2721.79345703125,,
31,5413.2705078125,2717.151611328125,,
32,5406.97265625,2712.6474609375,,
33,5400.55517578125,2708.320556640625,,
34,5394.26318359375,2704.1552734375,,
35,5388.0625,2700.138671875,,
36,5381.27197265625,2696.29345703125,,
37,5375.84228515625,2692.4921875,,
38,5369.71826171875,2688.802978515625,,
39,5364.134765625,2685.159423828125,,
40,5358.4208984375,2681.572509765625,,
41,5353.537109375,2677.984130859375,,
42,5347.41943359375,2674.513427734375,,
43,5342.31787109375,2671.050537109375,,
44,5336.939453125,2667.63134765625,,
45,5331.9609375,2664.224609375,,
46,5327.2919921875,2660.83740234375,,
47,5321.39697265625,2657.5703125,,
48,5315.9765625,2654.345458984375,,
49,5311.3525390625,2651.081298828125,,
