,training_loss,validation_loss,training_accuracy,validation_accuracy
0,4989.677734375,4935.51708984375,,
1,5016.57958984375,2551.402099609375,,
2,4580.92822265625,2146.387451171875,,
3,4280.09716796875,2177.04931640625,,
4,4011.50244140625,2888.50341796875,,
5,4165.01953125,2483.05126953125,,
6,3919.2373046875,2104.303955078125,,
7,4065.948486328125,1890.39306640625,,
8,3848.49560546875,1905.73095703125,,
9,3764.230712890625,2016.26611328125,,
10,3706.252197265625,1915.808837890625,,
11,3658.46875,1755.9739990234375,,
12,3627.033935546875,1664.3028564453125,,
13,3597.165771484375,1658.105712890625,,
14,3493.112060546875,1582.8277587890625,,
15,3435.711669921875,1543.797607421875,,
16,3373.513916015625,1515.6114501953125,,
17,3366.840576171875,1491.78564453125,,
18,3264.7880859375,1505.7862548828125,,
19,3248.9873046875,1490.297119140625,,
20,3166.38330078125,1473.046875,,
21,3287.2412109375,1483.91650390625,,
22,3191.9560546875,1739.042236328125,,
23,3128.4033203125,1575.103271484375,,
24,3002.004638671875,1560.0203857421875,,
25,3045.34228515625,1634.5087890625,,
26,3092.284423828125,1833.00048828125,,
27,2931.58837890625,1623.75732421875,,
28,2954.1240234375,1657.5908203125,,
29,2986.929931640625,1880.106689453125,,
30,2879.973388671875,1779.2197265625,,
31,2794.823974609375,1837.075439453125,,
32,2815.875,1976.0648193359375,,
33,2722.26123046875,1984.076904296875,,
34,2705.658203125,2082.436767578125,,
35,2698.385986328125,2208.14208984375,,
36,2688.302734375,2307.80908203125,,
37,2654.912841796875,2223.77490234375,,
38,2609.003662109375,2382.6142578125,,
39,2635.935791015625,2538.0595703125,,
40,2715.584228515625,2439.130859375,,
41,2704.65576171875,2433.396484375,,
42,2551.5,2584.11279296875,,
43,2545.22607421875,2555.445556640625,,
44,2570.35693359375,2480.352783203125,,
45,2461.455078125,2607.43359375,,
46,2541.87890625,2625.2431640625,,
47,2358.0625,2562.251220703125,,
48,2504.596923828125,2405.20849609375,,
49,2327.737548828125,2530.08935546875,,
