,training_loss,validation_loss,training_accuracy,validation_accuracy
0,6030.47509765625,2992.060791015625,,
1,5737.0458984375,2776.6064453125,,
2,5442.7314453125,2578.57421875,,
3,5155.30224609375,2401.87548828125,,
4,4895.41015625,2254.335205078125,,
5,4596.0029296875,2146.255859375,,
6,4395.9189453125,2085.587158203125,,
7,4243.0712890625,2084.2724609375,,
8,4158.5146484375,2140.0302734375,,
9,4099.298828125,2229.64990234375,,
10,4102.44921875,2324.646240234375,,
11,4097.923828125,2389.11279296875,,
12,4119.0322265625,2420.7646484375,,
13,4128.37060546875,2415.39453125,,
14,4120.44140625,2367.535888671875,,
15,4108.037109375,2309.24267578125,,
16,4078.976806640625,2262.490234375,,
17,4084.64208984375,2200.9033203125,,
18,4057.3125,2153.670654296875,,
19,4046.323486328125,2112.24365234375,,
20,4043.26708984375,2070.837890625,,
21,4036.6826171875,2034.92626953125,,
22,4032.58935546875,2000.46142578125,,
23,4026.33837890625,1968.610107421875,,
24,4019.6923828125,1936.63525390625,,
25,4009.356689453125,1906.9034423828125,,
26,3995.160400390625,1879.80322265625,,
27,3977.945068359375,1854.69091796875,,
28,3952.67919921875,1823.720947265625,,
29,3932.967041015625,1782.66259765625,,
30,3941.149658203125,1751.015625,,
31,3907.744873046875,1702.1192626953125,,
32,3864.213623046875,1638.7965087890625,,
33,3831.2275390625,1579.5316162109375,,
34,3806.625,1525.17138671875,,
35,3789.1220703125,1471.388671875,,
36,3768.913818359375,1420.4290771484375,,
37,3706.21630859375,1388.1737060546875,,
38,3710.316162109375,1371.46435546875,,
39,3628.781494140625,1305.286376953125,,
40,3573.65478515625,1243.5347900390625,,
41,3522.600830078125,1211.871826171875,,
42,3453.280517578125,1212.8837890625,,
43,3393.314208984375,1220.9112548828125,,
44,3411.942626953125,1213.174072265625,,
45,3364.105224609375,1168.3780517578125,,
46,3287.197265625,1194.573486328125,,
47,3248.18359375,1240.392822265625,,
48,3223.35400390625,1218.7830810546875,,
49,3202.85205078125,1211.5107421875,,
