,training_loss,validation_loss,training_accuracy,validation_accuracy
0,5867.39599609375,3263.0185546875,,
1,5818.21533203125,3238.605224609375,,
2,5812.4345703125,3214.459228515625,,
3,5782.59130859375,3190.525634765625,,
4,5726.8251953125,3166.70556640625,,
5,5686.38330078125,3142.5546875,,
6,5666.35595703125,3118.255126953125,,
7,5636.5615234375,3093.484130859375,,
8,5587.72265625,3068.17236328125,,
9,5570.44677734375,3041.764404296875,,
10,5519.193359375,3014.648193359375,,
11,5495.560546875,2986.861083984375,,
12,5436.337890625,2958.8671875,,
13,5398.15283203125,2930.68212890625,,
14,5398.33447265625,2902.88525390625,,
15,5331.46630859375,2875.98486328125,,
16,5309.26708984375,2850.39501953125,,
17,5265.47021484375,2827.19189453125,,
18,5213.06103515625,2805.553955078125,,
19,5175.5224609375,2785.5439453125,,
20,5190.77880859375,2767.109619140625,,
21,5151.275390625,2750.477783203125,,
22,5136.42919921875,2735.2119140625,,
23,5107.07177734375,2720.72021484375,,
24,5093.55859375,2707.10498046875,,
25,5056.56201171875,2694.498046875,,
26,5048.8798828125,2682.589111328125,,
27,5023.361328125,2671.48046875,,
28,5004.5595703125,2661.16650390625,,
29,4998.779296875,2651.5703125,,
30,5005.61572265625,2642.5849609375,,
31,4999.64111328125,2633.832275390625,,
32,4956.1591796875,2625.656005859375,,
33,4965.33984375,2617.819580078125,,
34,4917.73876953125,2610.3359375,,
35,4931.98583984375,2603.1826171875,,
36,4881.91064453125,2596.080810546875,,
37,4886.982421875,2589.1220703125,,
38,4832.67822265625,2582.247802734375,,
39,4877.59228515625,2575.421875,,
40,4836.5009765625,2568.44970703125,,
41,4869.7275390625,2561.27783203125,,
42,4845.666015625,2553.88037109375,,
43,4811.458984375,2546.533203125,,
44,4847.43310546875,2539.14111328125,,
45,4806.416015625,2531.888916015625,,
46,4813.8251953125,2524.448486328125,,
47,4783.02685546875,2517.28369140625,,
48,4811.8681640625,2510.447265625,,
49,4794.89111328125,2503.85205078125,,
