,training_loss,validation_loss,training_accuracy,validation_accuracy
0,6199.9609375,3258.775390625,,
1,6168.87939453125,3238.285888671875,,
2,6137.35107421875,3217.775390625,,
3,6106.04150390625,3199.45751953125,,
4,6085.1796875,3183.09130859375,,
5,6061.6376953125,3168.32861328125,,
6,6045.72021484375,3154.46142578125,,
7,6023.72021484375,3141.59619140625,,
8,6006.85205078125,3129.25244140625,,
9,5990.5810546875,3117.58740234375,,
10,5975.20703125,3106.69091796875,,
11,5962.03564453125,3096.4140625,,
12,5948.74072265625,3086.7001953125,,
13,5935.26611328125,3077.44775390625,,
14,5923.94189453125,3068.369140625,,
15,5912.72900390625,3059.41357421875,,
16,5901.21923828125,3050.575927734375,,
17,5887.90478515625,3041.896484375,,
18,5876.673828125,3033.02685546875,,
19,5862.7314453125,3024.077880859375,,
20,5848.9736328125,3015.094482421875,,
21,5836.2607421875,3006.2958984375,,
22,5824.52783203125,2997.76904296875,,
23,5813.6572265625,2989.27734375,,
24,5801.8642578125,2980.58203125,,
25,5788.04638671875,2971.396484375,,
26,5776.0859375,2960.8564453125,,
27,5758.26416015625,2948.685791015625,,
28,5741.70361328125,2935.027587890625,,
29,5717.5185546875,2921.304443359375,,
30,5696.9189453125,2908.3779296875,,
31,5677.4013671875,2896.8427734375,,
32,5661.509765625,2886.83154296875,,
33,5646.84814453125,2878.037353515625,,
34,5634.40673828125,2869.8896484375,,
35,5625.54150390625,2861.96337890625,,
36,5615.99169921875,2854.41259765625,,
37,5605.4736328125,2847.26025390625,,
38,5595.9677734375,2840.2666015625,,
39,5586.8251953125,2833.30615234375,,
40,5576.37060546875,2826.391357421875,,
41,5566.2529296875,2819.333984375,,
42,5556.0849609375,2812.0361328125,,
43,5545.23388671875,2804.4560546875,,
44,5533.49560546875,2796.56005859375,,
45,5521.427734375,2788.60791015625,,
46,5508.8564453125,2781.09228515625,,
47,5498.51904296875,2773.807373046875,,
48,5486.26025390625,2766.6513671875,,
49,5474.474609375,2759.34716796875,,
